2020-10-11 00:13:24.796+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485766, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:13:36.796+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485767, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:13:48.811+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485768, Block: 5bc05e..54ed, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:14:00.790+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485769, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:14:12.710+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485770, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:14:24.793+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485771, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:14:36.789+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485772, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:14:48.792+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485773, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:15:00.810+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485774, Block: 420218..2f80, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:15:12.787+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485775, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
