datetime,current_slot,head_slot,connected_peer
Oct-12 00:38:08,493090,47895,13
Oct-12 00:38:21,493091,48000,13
Oct-12 00:38:33,493092,48096,13
Oct-12 00:38:44,493093,48192,13
Oct-12 00:38:56,493094,48297,13
Oct-12 00:39:08,493095,48407,13
Oct-12 00:39:20,493096,48506,13
Oct-12 00:39:32,493097,48578,13
Oct-12 00:39:45,493098,48690,13
Oct-12 00:39:56,493099,48768,13
Oct-12 00:40:08,493100,48886,13
Oct-12 00:40:22,493101,49004,14
Oct-12 00:40:33,493102,49091,13
Oct-12 00:40:45,493103,49184,12
Oct-12 00:40:56,493104,49280,12
Oct-12 00:41:08,493105,49392,12
Oct-12 00:41:20,493106,49473,12
Oct-12 00:41:32,493107,49568,12
Oct-12 00:41:44,493108,49681,12
Oct-12 00:41:56,493109,49786,12
Oct-12 00:42:08,493110,49863,12
Oct-12 00:42:20,493111,49965,12
Oct-12 00:42:32,493112,50057,12
Oct-12 00:42:44,493113,50167,12
Oct-12 00:42:58,493114,50167,12
Oct-12 00:43:08,493115,50365,12
Oct-12 00:43:20,493116,50460,12
Oct-12 00:43:32,493117,50553,12
Oct-12 00:43:44,493118,50653,12
Oct-12 00:43:58,493119,50653,12
Oct-12 00:44:08,493120,50837,12
Oct-12 00:44:21,493121,50912,12
Oct-12 00:44:32,493122,50977,12
Oct-12 00:44:46,493123,50977,12
Oct-12 00:44:58,493124,50977,13
Oct-12 00:45:10,493125,51264,13
Oct-12 00:45:21,493126,51360,13
Oct-12 00:45:34,493127,51458,13
Oct-12 00:45:45,493128,51566,13
Oct-12 00:45:56,493129,51658,13
Oct-12 00:46:09,493130,51776,13
Oct-12 00:46:21,493131,51885,13
Oct-12 00:46:32,493132,51970,13
Oct-12 00:46:46,493133,51970,13
Oct-12 00:46:58,493134,52205,13
Oct-12 00:47:09,493135,52288,13
Oct-12 00:47:20,493136,52412,13
Oct-12 00:47:32,493137,52505,13
Oct-12 00:47:45,493138,52505,13
Oct-12 00:47:56,493139,52703,13
Oct-12 00:48:09,493140,52800,13
Oct-12 00:48:22,493141,52896,13
Oct-12 00:48:32,493142,52971,13
Oct-12 00:48:44,493143,53068,13
Oct-12 00:48:56,493144,53158,14
Oct-12 00:49:08,493145,53250,14
Oct-12 00:49:20,493146,53369,14
Oct-12 00:49:34,493147,53369,14
Oct-12 00:49:45,493148,53569,14
Oct-12 00:49:57,493149,53666,14
Oct-12 00:50:10,493150,53760,14
Oct-12 00:50:21,493151,53856,14
Oct-12 00:50:32,493152,53941,15
Oct-12 00:50:44,493153,54002,15
Oct-12 00:50:56,493154,54105,15
Oct-12 00:51:10,493155,54105,15
Oct-12 00:51:22,493156,54105,15
Oct-12 00:51:33,493157,54401,15
Oct-12 00:51:44,493158,54485,15
Oct-12 00:51:58,493159,54485,15
Oct-12 00:52:08,493160,54682,15
Oct-12 00:52:21,493161,54785,15
Oct-12 00:52:33,493162,54891,16
Oct-12 00:52:45,493163,54990,16
Oct-12 00:52:57,493164,55073,16
Oct-12 00:53:08,493165,55179,16
Oct-12 00:53:22,493166,55179,16
Oct-12 00:53:34,493167,55406,16
Oct-12 00:53:44,493168,55488,16
Oct-12 00:53:57,493169,55488,16
Oct-12 00:54:08,493170,55712,16
Oct-12 00:54:20,493171,55829,16
Oct-12 00:54:32,493172,55915,16
Oct-12 00:54:44,493173,56017,16
Oct-12 00:54:57,493174,56096,16
Oct-12 00:55:08,493175,56193,16
Oct-12 00:55:21,493176,56288,16
Oct-12 00:55:32,493177,56384,16
Oct-12 00:55:44,493178,56498,16
Oct-12 00:55:58,493179,56498,16
Oct-12 00:56:09,493180,56704,16
Oct-12 00:56:21,493181,56800,16
Oct-12 00:56:33,493182,56896,16
Oct-12 00:56:45,493183,56993,16
Oct-12 00:56:57,493184,57088,16
Oct-12 00:57:10,493185,57088,16
Oct-12 00:57:22,493186,57088,16
Oct-12 00:57:34,493187,57088,16
Oct-12 00:57:44,493188,57501,16
Oct-12 00:57:56,493189,57599,16
Oct-12 00:58:08,493190,57691,16
Oct-12 00:58:20,493191,57783,16
Oct-12 00:58:32,493192,57859,16
Oct-12 00:58:44,493193,57953,16
Oct-12 00:58:57,493194,58060,16
Oct-12 00:59:10,493195,58060,16
Oct-12 00:59:21,493196,58274,16
Oct-12 00:59:32,493197,58384,16
Oct-12 00:59:44,493198,58459,16
Oct-12 00:59:57,493199,58560,16
Oct-12 01:00:09,493200,58657,15
Oct-12 01:00:22,493201,58762,15
Oct-12 01:00:33,493202,58858,15
Oct-12 01:00:44,493203,58944,15
Oct-12 01:00:56,493204,59041,15
Oct-12 01:01:08,493205,59119,15
Oct-12 01:01:22,493206,59119,15
Oct-12 01:01:34,493207,59338,15
Oct-12 01:01:45,493208,59424,15
Oct-12 01:01:58,493209,59424,15
Oct-12 01:02:09,493210,59616,15
Oct-12 01:02:22,493211,59616,15
Oct-12 01:02:33,493212,59842,15
Oct-12 01:02:45,493213,59937,15
Oct-12 01:02:57,493214,60064,15
Oct-12 01:03:09,493215,60192,15
Oct-12 01:03:20,493216,60300,15
Oct-12 01:03:33,493217,60428,15
Oct-12 01:03:45,493218,60512,15
Oct-12 01:03:56,493219,60625,15
Oct-12 01:04:09,493220,60736,15
Oct-12 01:04:20,493221,60832,15
Oct-12 01:04:32,493222,60936,15
Oct-12 01:04:44,493223,61039,15
Oct-12 01:04:56,493224,61147,16
Oct-12 01:05:08,493225,61236,15
Oct-12 01:05:20,493226,61344,15
Oct-12 01:05:33,493227,61440,15
Oct-12 01:05:46,493228,61552,15
Oct-12 01:05:56,493229,61632,15
Oct-12 01:06:08,493230,61736,15
Oct-12 01:06:20,493231,61846,15
Oct-12 01:06:34,493232,61846,15
Oct-12 01:06:46,493233,62070,15
Oct-12 01:06:56,493234,62144,15
Oct-12 01:07:08,493235,62261,15
Oct-12 01:07:22,493236,62368,15
Oct-12 01:07:33,493237,62478,15
Oct-12 01:07:44,493238,62566,15
Oct-12 01:07:56,493239,62658,15
Oct-12 01:08:09,493240,62769,15
Oct-12 01:08:22,493241,62861,15
Oct-12 01:08:33,493242,62958,15
Oct-12 01:08:44,493243,63040,15
Oct-12 01:08:56,493244,63154,15
Oct-12 01:09:08,493245,63235,15
Oct-12 01:09:21,493246,63328,15
Oct-12 01:09:32,493247,63424,15
Oct-12 01:09:44,493248,63521,15
Oct-12 01:09:57,493249,63619,15
Oct-12 01:10:10,493250,63619,15
Oct-12 01:10:22,493251,63619,15
Oct-12 01:10:32,493252,63895,15
Oct-12 01:10:46,493253,63895,14
Oct-12 01:10:56,493254,64092,14
Oct-12 01:11:10,493255,64092,14
Oct-12 01:11:21,493256,64092,14
Oct-12 01:11:32,493257,64384,14
Oct-12 01:11:44,493258,64480,14
Oct-12 01:11:56,493259,64605,14
